
# Responsive Search Ads
Campaign,Ad group,Ad type,Ad status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1 position,Description 2 position,Description 3 position,Description 4 position
forgespace_br_en_visibility_v3,smb_en,Responsive search ad,Enabled,https://forgespace.co/?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3,open-source,IDP,Internal Developer Platform,Backstage Alternative — Free,Platform Engineering Tools,IDP for Startups & SMBs,"Ship Faster, Govern Smarter",No Platform Team? No Problem,AI Governance Built In,Scorecards & Policy Packs,Open Source & Self-Hosted,Free for Individuals,MIT Licensed — No Lock-In,Start on GitHub Today,Explore Forge Space,Forge Space — Try Free,"Open Source, MIT Licensed","Open-source IDP with AI governance, scorecards, and audit trails. Free to start on GitHub.",Backstage alternative for small teams. No platform department needed. Start free today.,"Platform engineering tools with practical governance. Self-hosted, open source, MIT.",Ship AI-assisted products with quality gates and visibility. No contract needed.,1,1,1,1,,,,,,,,3,3,3,,,,,
forgespace_br_en_visibility_v3,smb_en,Responsive search ad,Enabled,https://forgespace.co/?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3,open-source,IDP,Internal Developer Platform,Backstage Alternative — Teams,Platform Engineering Tools,IDP for Startups — No Overhead,Governed AI Delivery — Free,No Platform Team Required,Quality Scorecards Built In,Policy Packs & Audit Trails,Self-Hosted or Cloud — Free,Open Source IDP on GitHub,Try It Free on GitHub,MIT Licensed — No Lock-In,Ship Code With Confidence,Start with Forge Space,Prompt to Auditable Output,Forge Space gives small teams practical governance and visibility for AI delivery.,"Move from idea to governed delivery with policy packs, scorecards, and audit trails.","Open source, self-hosted, MIT licensed. Clear paths for contributors and buyers alike.",See how your team can ship AI-enabled products with confidence. Explore repos on GitHub.,1,1,1,1,,,,,,,3,,3,3,,,,,
forgespace_br_en_visibility_v3,oss_en,Responsive search ad,Enabled,https://forgespace.co/ecosystem?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3,ecosystem,open-source,Open Source Developer Platform,Open Source IDP on GitHub,Developer Platform GitHub,MIT Licensed Dev Platform,Browse Repos & Roadmap,MCP-Native Platform Tools,Open Source IDP — Free,Join the Forge Ecosystem,"AI Governance, Open Source",Platform Engineering OSS,Explore Active Repositories,Contributors Welcome,Scorecards & Audit Trails,Browse Repos & Contribute,Explore Forge Space OSS,Open-source developer platform with AI governance. Browse repos and contribute on GitHub.,From generation to governance — built for practical developer workflows. MIT licensed.,"Find the roadmap, active modules, and contribution paths in one place. Free and open.",Help shape open-source infrastructure for teams shipping AI-assisted software.,1,1,1,,,,,,,,3,,,3,3,,,,
forgespace_br_en_visibility_v3,oss_en,Responsive search ad,Enabled,https://forgespace.co/ecosystem?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3,ecosystem,open-source,Open Source Developer Platform,Open Source IDP — MIT License,Developer Platform GitHub,Contributors Welcome — Free,MCP Tools for Dev Workflows,Browse Repos and Contribute,AI Governance Open Source,Join the Maintainer Journey,Public Roadmap & Active Repos,"Platform Engineering, Open",Quality Gates Built In,Free IDP for Real Teams,Audit Trails Included,Ship With Confidence — Free,Explore Forge Space OSS,See the Forge Space ecosystem and contribute where developer impact is immediate.,Open-source platform engineering stack with real governance and velocity tradeoffs.,"Browse repositories, understand architecture, and join collaboration through GitHub.","Built for developers who want visible, practical progress. Free and open source.",1,1,1,,,3,,,,,,,,3,3,,,,
forgespace_br_en_visibility_v3,startups_en,Responsive search ad,Enabled,https://forgespace.co/startups?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3,startups,IDP,IDP for Startups,Dev Platform for Startups,Platform Engineering Startups,Ship Governed Code — Free,No Platform Team Required,AI Governance at Startup Speed,Free for Teams Under 15 Devs,Scorecards on Every PR,Policy Packs — Zero Config,"Open Source, MIT Licensed",Start Free on GitHub,Backstage Alternative — Free,Explore Forge Space,Try Siza — Free Demo,Forge Space for Startups,"Open-source IDP for startups. Scorecards, audit trails, governance. Free under 15 devs.",Ship AI-assisted code with quality gates from day one. No platform engineer needed.,"Backstage alternative for seed-stage teams. Self-hosted, MIT licensed, free to start.",Enterprise governance at startup speed. Start on GitHub today — no credit card required.,1,1,1,,,,,,,,3,,3,,3,,,,
forgespace_br_en_visibility_v3,startups_en,Responsive search ad,Enabled,https://forgespace.co/startups?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3,startups,IDP,IDP for Startups,Dev Platform for Startups,Platform Engineering Startups,Governed AI Delivery — Free,No Platform Engineer Needed,Quality Gates on Every PR,Free Under 15 Devs,MIT Licensed — No Lock-In,Self-Hosted or Cloud — Free,Open Source IDP on GitHub,View on GitHub — Free,Explore Forge Space,Ship With Confidence,Forge Space for Startups,Start Free — No Credit Card,Forge Space gives startups practical governance without a platform team. Free to start.,"From idea to governed delivery — scorecards, policy packs, and audit trails included.","Open source, self-hosted, MIT licensed. Built for seed-stage teams shipping AI code.",See how your startup can ship AI-enabled products with confidence. Explore on GitHub.,1,1,1,,,,,,,,3,3,,,3,,,,
forgespace_br_en_visibility_v3,smb_pt,Responsive search ad,Enabled,https://forgespace.co/pt?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3,open-source,IDP,Plataforma de Desenvolvimento,Alternativa ao Backstage,Ferramentas de Plataforma,IDP para Startups e PMEs,"Entregue Mais, Governe Melhor",Sem Equipe de Plataforma,IA com Governança Integrada,Scorecards e Auditoria,Open Source e Self-Hosted,Gratuito para Indivíduos,Licença MIT — Sem Lock-In,Comece no GitHub Hoje,Explore o Forge Space,Forge Space — Teste Grátis,"Open Source, Licença MIT","IDP open-source com governança por IA, scorecards e auditoria. Comece grátis no GitHub.",Alternativa ao Backstage para times pequenos. Sem equipe de plataforma. Grátis hoje.,"Ferramentas de plataforma com governança prática. Self-hosted, open source, MIT.",Entregue produtos com IA e qualidade integrada. Sem contrato necessário.,1,1,1,1,,,,,,,,3,3,3,,,,,
forgespace_br_en_visibility_v3,smb_pt,Responsive search ad,Enabled,https://forgespace.co/pt?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3,open-source,IDP,Plataforma de Desenvolvimento,Alternativa ao Backstage,Ferramentas de Plataforma,IDP para Startups — Sem Custo,Entrega com IA Governada,Sem Equipe de Plataforma,Scorecards de Qualidade,Políticas e Auditoria,Self-Hosted ou Cloud — Grátis,IDP Open Source no GitHub,Teste Grátis no GitHub,MIT — Sem Lock-In,Entregue Código com Confiança,Comece com Forge Space,Prompt para Saída Auditável,Forge Space dá a times pequenos governança prática e visibilidade para entrega com IA.,"Do conceito à entrega governada com políticas, scorecards e trilhas de auditoria.","Open source, self-hosted, licença MIT. Caminhos claros para contribuidores e compradores.",Veja como seu time pode entregar produtos com IA e confiança. Explore os repos no GitHub.,1,1,1,,,,,,,,3,,3,3,,,,,

# Keywords
Campaign,Ad group,Keyword,Match type,Max CPC,Status
forgespace_br_en_visibility_v3,smb_en,internal developer platform,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,smb_en,internal developer platform,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,smb_en,backstage alternative,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,smb_en,backstage alternative,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,smb_en,platform engineering tools,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,smb_en,platform engineering tools,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,smb_en,IDP for startups,Exact,2.50,Paused
forgespace_br_en_visibility_v3,smb_en,IDP for startups,Phrase,2.50,Paused
forgespace_br_en_visibility_v3,oss_en,open source developer platform,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,oss_en,open source developer platform,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,oss_en,open source IDP,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,oss_en,open source IDP,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,oss_en,developer platform github,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,oss_en,developer platform github,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,startups_en,IDP for startups,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,startups_en,IDP for startups,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,startups_en,dev platform for startups,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,startups_en,dev platform for startups,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,startups_en,platform engineering startups,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,startups_en,platform engineering startups,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,smb_pt,plataforma de desenvolvimento,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,smb_pt,plataforma de desenvolvimento,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,smb_pt,alternativa ao backstage,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,smb_pt,alternativa ao backstage,Phrase,2.50,Enabled
forgespace_br_en_visibility_v3,smb_pt,ferramentas de plataforma,Exact,2.50,Enabled
forgespace_br_en_visibility_v3,smb_pt,ferramentas de plataforma,Phrase,2.50,Enabled

# Campaign Negative Keywords
Campaign,Negative keyword,Match type
forgespace_br_en_visibility_v3,job,Broad [negative]
forgespace_br_en_visibility_v3,jobs,Broad [negative]
forgespace_br_en_visibility_v3,salary,Broad [negative]
forgespace_br_en_visibility_v3,internship,Broad [negative]
forgespace_br_en_visibility_v3,vaga,Broad [negative]
forgespace_br_en_visibility_v3,vagas,Broad [negative]
forgespace_br_en_visibility_v3,salario,Broad [negative]
forgespace_br_en_visibility_v3,estagio,Broad [negative]
forgespace_br_en_visibility_v3,curso,Broad [negative]
forgespace_br_en_visibility_v3,cursos,Broad [negative]
forgespace_br_en_visibility_v3,tutorial,Broad [negative]
forgespace_br_en_visibility_v3,bootcamp,Broad [negative]
forgespace_br_en_visibility_v3,certification,Broad [negative]
forgespace_br_en_visibility_v3,certificado,Broad [negative]
forgespace_br_en_visibility_v3,baixar,Broad [negative]
forgespace_br_en_visibility_v3,apk,Broad [negative]
forgespace_br_en_visibility_v3,template free,Phrase [negative]
forgespace_br_en_visibility_v3,logo,Broad [negative]
forgespace_br_en_visibility_v3,canva,Broad [negative]
forgespace_br_en_visibility_v3,ppt,Broad [negative]
forgespace_br_en_visibility_v3,slides,Broad [negative]
forgespace_br_en_visibility_v3,pdf,Broad [negative]
forgespace_br_en_visibility_v3,cheat sheet,Phrase [negative]
forgespace_br_en_visibility_v3,meaning,Broad [negative]
forgespace_br_en_visibility_v3,definition,Broad [negative]
forgespace_br_en_visibility_v3,minecraft,Broad [negative]
forgespace_br_en_visibility_v3,crack,Broad [negative]
forgespace_br_en_visibility_v3,hack,Broad [negative]
forgespace_br_en_visibility_v3,concert,Broad [negative]
forgespace_br_en_visibility_v3,ticket,Broad [negative]
forgespace_br_en_visibility_v3,tickets,Broad [negative]
forgespace_br_en_visibility_v3,lyrics,Broad [negative]
forgespace_br_en_visibility_v3,theater,Broad [negative]
forgespace_br_en_visibility_v3,backstage pass,Phrase [negative]
forgespace_br_en_visibility_v3,pitch deck,Phrase [negative]
forgespace_br_en_visibility_v3,investor,Broad [negative]
forgespace_br_en_visibility_v3,funding,Broad [negative]
forgespace_br_en_visibility_v3,venture capital,Phrase [negative]
forgespace_br_en_visibility_v3,seed round,Phrase [negative]
forgespace_br_en_visibility_v3,series a,Phrase [negative]
forgespace_br_en_visibility_v3,github actions,Phrase [negative]
forgespace_br_en_visibility_v3,github copilot,Phrase [negative]
forgespace_br_en_visibility_v3,copilot,Broad [negative]
forgespace_br_en_visibility_v3,vercel,Broad [negative]
forgespace_br_en_visibility_v3,netlify,Broad [negative]
forgespace_br_en_visibility_v3,heroku,Broad [negative]
forgespace_br_en_visibility_v3,free template,Phrase [negative]
forgespace_br_en_visibility_v3,free tool,Phrase [negative]

# Sitelink Extensions
Campaign,Sitelink text,Description line 1,Description line 2,Final URL,Status
forgespace_br_en_visibility_v3,See All Features,10 platform capabilities,AI governance to golden paths,https://forgespace.co/features?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_features,Enabled
forgespace_br_en_visibility_v3,Explore Ecosystem,Browse active repositories,Live GitHub metadata,https://forgespace.co/ecosystem?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_ecosystem,Enabled
forgespace_br_en_visibility_v3,View Pricing,Free for individuals,Team and enterprise plans,https://forgespace.co/pricing?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_pricing,Enabled
forgespace_br_en_visibility_v3,Public Roadmap,See what shipped recently,Track what comes next,https://forgespace.co/roadmap?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_roadmap,Enabled
forgespace_br_en_visibility_v3,For Startups,Free for teams under 15 devs,No platform engineer needed,https://forgespace.co/startups?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_startups,Enabled

# Callout Extensions
Campaign,Callout text,Status
forgespace_br_en_visibility_v3,Open Source,Enabled
forgespace_br_en_visibility_v3,MIT Licensed,Enabled
forgespace_br_en_visibility_v3,Backstage Alternative,Enabled
forgespace_br_en_visibility_v3,No Platform Team Required,Enabled
forgespace_br_en_visibility_v3,Self-Hosted Ready,Enabled
forgespace_br_en_visibility_v3,Free for Individuals,Enabled
forgespace_br_en_visibility_v3,AI Governance Built In,Enabled
forgespace_br_en_visibility_v3,Scorecards & Audit Trails,Enabled

# Structured Snippet Extensions
Campaign,Header,Values,Status
forgespace_br_en_visibility_v3,Types,Internal Developer Platform;Platform Engineering Tools;AI Governance Platform;Developer Portal,Enabled
forgespace_br_en_visibility_v3,Features,Quality Scorecards;Policy Packs;Audit Trails;Golden Path Templates,Enabled
